Gender,Age,Annual Income,Profession,Bought
female,57,16096,Doctor,0
male,64,121742,Graphic Designer,1
male,67,122007,Accountant,0
female,40,48089,Gamer,1
female,34,8604,Graphic Designer,1
female,70,70126,Graphic Designer,0
female,72,24970,Teacher,0
female,30,59073,Gamer,1
female,42,29539,Doctor,0
male,74,119003,Business Professional,0
male,47,16619,Business Professional,0
male,40,132687,Freelancer,1
male,30,40807,Gamer,1
female,45,56241,Graphic Designer,1
female,43,89135,Freelancer,1
male,59,85204,Teacher,0
male,25,18626,Student,1
female,75,56406,Freelancer,0
male,48,58366,Gamer,1
female,45,58365,Doctor,0
female,51,120672,Accountant,0
female,75,89183,Freelancer,0
male,41,59273,Gamer,1
female,19,79804,Gamer,1
female,67,128374,Business Professional,0
female,47,30416,Gamer,1
female,66,103005,Video Editor,0
female,35,39629,Teacher,0
female,58,8643,Doctor,0
male,25,58830,Doctor,1
female,40,11603,Gamer,1
male,26,57007,Gamer,1
female,64,64012,Graphic Designer,0
female,34,41494,Accountant,0
female,30,120055,Accountant,0
male,65,121449,Graphic Designer,1
male,20,66376,Gamer,1
female,36,31521,Student,0
male,55,42240,Gamer,1
male,36,135852,Video Editor,1
female,19,89938,Teacher,0
female,31,7806,Software Engineer,1
male,49,91286,Gamer,1
male,31,29861,Gamer,1
female,29,110525,Video Editor,1
female,45,74906,Student,0
male,53,39871,Video Editor,1
female,61,115460,Freelancer,0
male,52,39874,Gamer,1
female,61,26012,Graphic Designer,0
female,74,20278,Freelancer,0
female,32,40363,Graphic Designer,1
female,34,35542,Freelancer,1
male,31,89249,Doctor,1
male,43,68633,Doctor,0
male,39,28954,Accountant,0
male,73,98106,Freelancer,1
male,61,62336,Software Engineer,1
female,69,10112,Graphic Designer,0
male,64,130304,Software Engineer,1
female,19,9797,Software Engineer,1
female,60,116636,Doctor,0
male,63,92596,Doctor,0
male,71,7933,Freelancer,1
female,51,131830,Business Professional,0
male,22,106791,Software Engineer,1
female,57,38236,Gamer,1
female,45,118288,Student,0
female,32,126193,Student,0
female,23,104367,Business Professional,0
female,46,82867,Teacher,0
female,23,41235,Doctor,0
male,63,64710,Teacher,0
male,46,123535,Gamer,1
male,35,53157,Software Engineer,1
female,43,58717,Student,0
female,37,33869,Teacher,0
male,54,56833,Video Editor,1
female,73,67454,Software Engineer,1
male,29,15775,Doctor,1
male,71,97197,Teacher,0
female,58,93562,Business Professional,0
female,39,39653,Software Engineer,1
male,29,139162,Accountant,0
male,46,67469,Business Professional,0
female,42,27208,Freelancer,1
male,42,38423,Doctor,0
male,27,68069,Gamer,1
male,53,95837,Freelancer,1
female,56,28876,Gamer,1
female,57,41208,Business Professional,0
female,41,11000,Business Professional,0
female,49,77141,Accountant,0
female,24,96373,Business Professional,0
female,61,99931,Gamer,1
female,27,47758,Teacher,0
female,60,43040,Doctor,0
female,72,46700,Accountant,0
male,38,114448,Business Professional,0
female,39,116385,Student,0
male,40,136968,Gamer,1
female,59,123308,Doctor,0
female,29,100752,Freelancer,1
male,40,116281,Gamer,1
female,58,24164,Software Engineer,1
female,75,5242,Business Professional,0
female,28,67451,Software Engineer,1
male,59,65329,Accountant,0
female,40,36204,Gamer,1
female,33,88310,Video Editor,1
female,31,105094,Freelancer,1
male,48,60256,Software Engineer,1
female,43,26530,Freelancer,1
female,51,31596,Gamer,1
female,26,54060,Freelancer,1
male,22,20677,Business Professional,1
female,37,56364,Graphic Designer,1
male,23,12061,Video Editor,1
female,37,31121,Teacher,0
female,61,108693,Accountant,0
male,43,12985,Graphic Designer,1
female,31,108129,Software Engineer,1
male,61,98235,Freelancer,1
female,61,138023,Business Professional,0
male,72,58751,Freelancer,1
male,57,122058,Teacher,0
male,39,22432,Student,0
male,70,16550,Gamer,1
male,22,68962,Graphic Designer,1
male,26,22239,Gamer,1
female,32,81233,Freelancer,1
female,36,61334,Graphic Designer,1
female,18,40437,Accountant,0
male,28,16814,Teacher,0
male,63,53621,Gamer,1
male,43,93342,Gamer,1
female,36,69015,Accountant,0
female,34,100120,Doctor,0
male,48,139661,Doctor,0
female,52,8851,Freelancer,1
female,43,63077,Doctor,0
male,31,63473,Freelancer,1
female,41,16776,Graphic Designer,1
female,59,98905,Freelancer,0
male,74,119834,Video Editor,0
female,48,86010,Graphic Designer,1
male,71,106034,Business Professional,0
male,22,45087,Graphic Designer,1
female,65,130471,Accountant,0
female,21,81798,Freelancer,1
female,56,26525,Accountant,0
male,53,94234,Teacher,0
female,47,126692,Teacher,0
female,73,79940,Graphic Designer,0
female,32,38097,Video Editor,1
male,47,83657,Teacher,0
female,37,66308,Freelancer,1
male,46,18502,Video Editor,1
female,64,61472,Gamer,1
male,60,14451,Business Professional,0
female,70,42907,Software Engineer,1
male,61,86171,Teacher,0
female,56,5636,Graphic Designer,0
female,65,20623,Freelancer,0
female,33,21512,Software Engineer,1
male,51,66975,Teacher,0
male,43,41863,Student,0
female,23,14380,Doctor,0
female,66,27812,Business Professional,0
female,57,29626,Business Professional,0
female,18,29740,Teacher,0
male,28,63781,Teacher,0
female,19,135641,Freelancer,1
female,54,112448,Student,0
female,29,73282,Video Editor,1
male,68,39009,Accountant,0
male,59,103914,Doctor,0
female,20,18506,Business Professional,0
female,46,43637,Gamer,1
male,60,112875,Gamer,1
male,51,110274,Video Editor,1
male,20,123783,Student,1
male,66,77858,Student,0
male,35,52556,Video Editor,1
male,18,97912,Student,1
male,49,100683,Graphic Designer,1
male,40,20337,Teacher,0
male,43,53041,Doctor,0
female,34,134939,Student,0
female,45,39377,Software Engineer,1
male,43,126897,Graphic Designer,1
male,43,130043,Freelancer,1
male,51,96000,Student,0
female,62,82519,Business Professional,0
female,48,5136,Business Professional,0
male,73,65914,Business Professional,0
female,29,34969,Doctor,0
male,36,69937,Graphic Designer,1
female,42,80945,Accountant,0
male,34,12401,Graphic Designer,1
female,23,38092,Teacher,0
male,33,12764,Freelancer,1
female,21,84851,Freelancer,1
male,30,70327,Graphic Designer,1
male,63,62860,Video Editor,0
male,52,37881,Doctor,0
female,45,24518,Software Engineer,1
female,20,56199,Gamer,1
male,74,55442,Teacher,0
female,24,57481,Graphic Designer,1
male,66,21934,Graphic Designer,1
female,52,132213,Freelancer,1
female,40,57779,Business Professional,0
female,40,66412,Freelancer,1
male,47,26508,Graphic Designer,1
female,33,78734,Teacher,0
male,43,70529,Video Editor,1
female,56,93292,Video Editor,0
male,49,42685,Accountant,0
female,24,100433,Graphic Designer,1
female,44,75561,Freelancer,1
male,29,106702,Freelancer,1
male,28,20628,Accountant,0
female,40,134478,Business Professional,0
female,31,87874,Business Professional,0
male,24,109587,Accountant,0
female,43,73342,Teacher,0
male,28,48355,Graphic Designer,1
female,58,54890,Software Engineer,1
male,68,37936,Business Professional,0
male,42,105609,Business Professional,0
female,32,102022,Doctor,0
female,66,34917,Software Engineer,1
female,66,130177,Gamer,1
female,51,54726,Software Engineer,1
female,42,37577,Student,0
male,35,79721,Freelancer,1
male,39,116264,Software Engineer,1
female,39,101851,Teacher,0
female,38,70889,Video Editor,0
female,69,61260,Accountant,0
male,45,37054,Doctor,0
female,63,40784,Student,0
female,56,103862,Gamer,1
male,61,17269,Freelancer,1
male,21,81165,Video Editor,1
male,58,52028,Graphic Designer,1
female,66,100681,Doctor,0
female,33,129420,Doctor,0
female,27,55355,Freelancer,1
female,23,124512,Accountant,0
male,69,119028,Teacher,0
male,61,121927,Freelancer,1
male,27,21504,Doctor,1
female,69,105208,Video Editor,0
male,26,94334,Accountant,0
male,43,93806,Teacher,0
male,53,74018,Software Engineer,1
male,71,32637,Video Editor,0
male,32,20281,Doctor,1
male,47,87728,Graphic Designer,1
female,57,18248,Accountant,0
female,33,85646,Business Professional,0
female,25,56598,Business Professional,0
female,71,116024,Video Editor,0
male,20,125428,Accountant,0
female,39,109470,Doctor,0
female,69,14652,Student,0
male,61,12935,Graphic Designer,1
male,71,82554,Gamer,1
male,45,39000,Freelancer,1
male,38,111417,Graphic Designer,1
female,50,46511,Gamer,1
female,28,133277,Gamer,1
female,71,44090,Graphic Designer,0
male,40,92483,Graphic Designer,1
female,29,70857,Graphic Designer,1
male,69,41542,Graphic Designer,1
male,69,13599,Gamer,1
female,61,92664,Software Engineer,1
female,18,48748,Gamer,1
male,26,26465,Business Professional,1
male,67,135530,Gamer,1
male,58,23510,Business Professional,0
female,43,11970,Business Professional,0
male,40,34693,Student,0
male,21,47237,Video Editor,1
male,52,36445,Software Engineer,1
female,19,114149,Software Engineer,1
female,71,124176,Graphic Designer,0
male,65,99635,Teacher,0
female,71,29062,Accountant,0
male,60,19816,Gamer,1
female,32,127178,Gamer,1
female,53,100427,Student,0
male,45,17271,Freelancer,1
male,69,73130,Gamer,1
female,36,16170,Software Engineer,1
male,54,119987,Software Engineer,1
male,59,21450,Video Editor,0
male,30,115322,Freelancer,1
male,54,75586,Business Professional,0
female,20,90099,Doctor,0
male,21,91429,Business Professional,1
male,22,89042,Teacher,0
male,70,40903,Teacher,0
female,60,138279,Business Professional,0
female,68,93355,Doctor,0
female,27,29008,Gamer,1
male,61,89336,Software Engineer,1
male,33,90429,Video Editor,1
female,75,81334,Accountant,0
male,26,101495,Teacher,0
male,39,106713,Video Editor,1
female,65,18926,Gamer,1
male,52,24141,Doctor,0
female,54,130943,Software Engineer,1
female,25,42338,Graphic Designer,1
male,50,48786,Business Professional,0
female,68,137904,Graphic Designer,0
female,62,117052,Graphic Designer,0
female,31,62222,Teacher,0
male,39,14359,Business Professional,0
male,62,118617,Teacher,0
female,42,133496,Software Engineer,1
female,41,94851,Student,0
female,67,26453,Doctor,0
female,72,45745,Gamer,1
female,66,133760,Business Professional,0
male,56,81005,Accountant,0
female,54,6235,Software Engineer,1
male,64,52530,Student,0
male,58,138560,Freelancer,1
female,39,117061,Teacher,0
male,66,62944,Graphic Designer,1
female,61,64620,Graphic Designer,0
female,22,84495,Gamer,1
male,22,113571,Accountant,0
male,69,81668,Accountant,0
male,51,109406,Student,0
male,19,89206,Business Professional,1
male,71,83093,Gamer,1
male,71,124420,Accountant,0
female,64,118104,Business Professional,0
male,45,91485,Business Professional,0
male,35,29450,Graphic Designer,1
female,23,108964,Software Engineer,1
female,42,59269,Software Engineer,1
male,49,52203,Graphic Designer,1
female,27,81470,Software Engineer,1
male,37,27683,Accountant,0
male,42,86256,Software Engineer,1
male,61,106790,Accountant,0
male,74,43155,Accountant,0
female,32,71032,Student,0
female,53,75372,Freelancer,1
male,30,67263,Software Engineer,1
male,57,53238,Doctor,0
male,70,103118,Teacher,0
male,32,26205,Gamer,1
female,71,35993,Accountant,0
female,60,75327,Accountant,0
male,23,134091,Accountant,0
male,52,7444,Freelancer,1
male,34,22255,Accountant,0
female,45,56395,Video Editor,0
female,75,109716,Teacher,0
male,26,35117,Software Engineer,1
female,53,73878,Business Professional,0
female,56,24760,Teacher,0
female,43,34333,Video Editor,0
male,19,81951,Software Engineer,1
male,53,11129,Graphic Designer,1
female,37,91540,Video Editor,0
male,30,139072,Teacher,0
female,19,102230,Doctor,0
male,35,117454,Freelancer,1
female,29,29372,Accountant,0
male,49,71567,Teacher,0
female,27,17065,Video Editor,1
male,75,43693,Software Engineer,1
female,61,104358,Software Engineer,1
male,40,110736,Student,0
female,57,84985,Business Professional,0
female,34,77255,Freelancer,1
female,47,126333,Freelancer,1
female,54,124232,Gamer,1
female,63,131162,Gamer,1
female,31,51557,Software Engineer,1
male,38,65515,Graphic Designer,1
male,71,25584,Teacher,0
female,61,117109,Business Professional,0
female,22,82743,Accountant,0
female,32,96006,Software Engineer,1
female,37,62753,Student,0
male,52,11890,Software Engineer,1
female,34,53820,Teacher,0
male,21,113522,Student,1
male,51,67631,Graphic Designer,1
female,22,52032,Graphic Designer,1
male,72,105000,Graphic Designer,1
male,64,23572,Business Professional,0
female,18,57507,Freelancer,1
female,71,122469,Freelancer,0
female,31,87435,Video Editor,1
female,40,69193,Software Engineer,1
male,18,8411,Business Professional,1
female,23,23860,Graphic Designer,1
male,51,59287,Doctor,0
female,20,36774,Gamer,1
male,63,53803,Video Editor,0
female,58,133576,Gamer,1
male,30,50455,Gamer,1
female,71,59904,Freelancer,0
male,46,60935,Teacher,0
male,22,50841,Accountant,0
male,67,27755,Business Professional,0
male,32,82003,Doctor,1
male,40,39971,Business Professional,0
female,74,14456,Graphic Designer,0
female,60,120003,Gamer,1
female,41,58935,Gamer,1
male,73,59964,Video Editor,0
female,19,16351,Freelancer,1
female,74,79146,Student,0
female,53,94747,Software Engineer,1
female,69,25676,Accountant,0
female,71,110029,Business Professional,0
male,37,85582,Doctor,0
female,65,10150,Teacher,0
male,41,53368,Freelancer,1
female,72,74646,Business Professional,0
female,43,6162,Business Professional,0
male,71,110906,Software Engineer,1
female,43,40792,Doctor,0
male,51,113002,Graphic Designer,1
male,37,110475,Doctor,0
male,41,46024,Teacher,0
female,39,63881,Gamer,1
female,46,109172,Teacher,0
female,44,17968,Freelancer,1
male,74,23458,Doctor,0
female,25,59236,Gamer,1
male,18,28366,Business Professional,1
female,32,78631,Student,0
female,20,69788,Student,0
male,70,4821,Teacher,0
male,58,40525,Freelancer,1
male,74,100824,Video Editor,0
female,38,44093,Software Engineer,1
female,43,3726,Freelancer,0
female,24,80549,Business Professional,0
male,51,50278,Accountant,0
female,28,89767,Gamer,1
female,55,7437,Student,0
male,32,56662,Teacher,0
male,40,50700,Teacher,0
female,72,49851,Accountant,0
female,49,59374,Student,0
female,25,86933,Freelancer,1
male,46,117982,Video Editor,1
male,46,86382,Video Editor,1
male,38,13768,Student,0
female,46,79212,Accountant,0
female,39,95855,Gamer,1
female,42,49872,Doctor,0
female,57,27095,Student,0
male,38,27506,Software Engineer,1
male,33,73385,Student,1
male,36,137610,Video Editor,1
female,28,66201,Doctor,0
female,40,46641,Gamer,1
female,59,104791,Student,0
male,43,105789,Doctor,0
female,50,33604,Accountant,0
female,46,13766,Freelancer,1
male,75,14746,Software Engineer,1
male,26,122772,Video Editor,1
female,49,12245,Student,0
male,42,133248,Video Editor,1
female,19,127495,Accountant,0
male,38,113290,Business Professional,0
female,65,39179,Teacher,0
male,18,123744,Video Editor,1
male,64,83555,Business Professional,0
female,25,85565,Software Engineer,1
female,63,82984,Video Editor,0
female,30,46210,Software Engineer,1
male,65,123466,Gamer,1
female,23,6968,Software Engineer,1
male,71,41384,Student,0
female,40,81814,Student,0
female,72,8142,Freelancer,0
female,59,19718,Teacher,0
female,19,61525,Graphic Designer,1
male,51,10064,Business Professional,0
male,26,135519,Gamer,1
male,71,54702,Graphic Designer,1
female,32,72412,Teacher,0
female,49,85907,Teacher,0
female,36,37057,Software Engineer,1
female,73,122041,Doctor,0
female,34,53534,Freelancer,1
male,67,136141,Video Editor,0
male,31,90184,Software Engineer,1
male,68,80742,Gamer,1
male,44,83376,Gamer,1
female,67,49338,Business Professional,0
female,65,97581,Doctor,0
female,53,32678,Video Editor,0
female,62,102310,Video Editor,0
female,75,30847,Freelancer,0
female,20,123841,Software Engineer,1
female,65,41657,Graphic Designer,0
male,51,38337,Freelancer,1
female,60,88704,Freelancer,0
female,36,20112,Business Professional,0
female,54,9705,Business Professional,0
male,73,109158,Student,0
male,43,67392,Gamer,1
male,68,72991,Business Professional,0
female,24,66478,Teacher,0
female,68,18321,Freelancer,0
female,23,81109,Freelancer,1
male,50,136710,Gamer,1
female,74,139926,Business Professional,0
female,34,136870,Teacher,0
male,29,123873,Freelancer,1
male,53,80516,Gamer,1
female,30,29266,Freelancer,1
female,47,135918,Gamer,1
male,74,121676,Student,0
male,47,127835,Accountant,0
female,30,93999,Teacher,0
female,48,4705,Business Professional,0
male,68,20327,Accountant,0
male,38,36162,Business Professional,0
female,29,21778,Student,0
male,49,61184,Gamer,1
female,50,48348,Teacher,0
male,33,77776,Graphic Designer,1
male,58,125501,Gamer,1
female,32,84437,Student,0
female,59,63523,Software Engineer,1
male,44,79391,Accountant,0
male,71,116379,Student,0
male,27,130946,Gamer,1
female,45,31039,Graphic Designer,1
male,20,18365,Student,1
male,72,72448,Gamer,1
female,69,88164,Freelancer,0
male,31,130665,Teacher,0
female,51,129365,Freelancer,1
male,27,65952,Video Editor,1
female,55,12215,Software Engineer,1
female,37,118357,Freelancer,1
female,27,74341,Doctor,0
female,73,124966,Student,0
female,73,61329,Software Engineer,1
male,44,118723,Accountant,0
male,47,53186,Teacher,0
female,70,13778,Teacher,0
male,64,130365,Software Engineer,1
female,22,88904,Gamer,1
male,19,44771,Video Editor,1
female,71,50506,Accountant,0
female,26,103814,Gamer,1
male,51,132460,Teacher,0
male,57,38627,Business Professional,0
female,75,114953,Business Professional,0
female,50,109237,Teacher,0
male,20,117092,Freelancer,1
male,53,75877,Accountant,0
female,42,6858,Doctor,0
male,58,123022,Software Engineer,1
male,31,132646,Gamer,1
male,19,85762,Business Professional,1
male,70,42224,Accountant,0
male,19,91748,Freelancer,1
male,27,68371,Business Professional,1
female,26,93305,Student,0
male,56,17682,Business Professional,0
male,64,63095,Teacher,0
male,30,108592,Gamer,1
male,68,57950,Accountant,0
female,35,111393,Video Editor,0
female,64,79321,Accountant,0
female,32,58677,Gamer,1
female,21,135621,Business Professional,0
male,43,68020,Gamer,1
female,39,74638,Accountant,0
male,63,40537,Gamer,1
female,29,47894,Software Engineer,1
female,30,100395,Gamer,1
female,56,116163,Business Professional,0
female,21,98989,Video Editor,1
male,27,113155,Student,1
male,56,58149,Business Professional,0
female,23,47003,Gamer,1
male,57,111442,Business Professional,0
female,43,61908,Student,0
female,37,20045,Gamer,1
female,59,131584,Accountant,0
female,60,59025,Student,0
male,66,3748,Doctor,0
female,31,26630,Video Editor,1
male,25,88738,Business Professional,1
female,42,52860,Gamer,1
female,23,93401,Freelancer,1
male,67,119106,Gamer,1
male,70,86639,Student,0
female,31,130019,Video Editor,1
male,40,13286,Business Professional,0
female,44,111543,Teacher,0
female,67,103411,Video Editor,0
male,59,108615,Gamer,1
male,48,126651,Doctor,0
male,58,103449,Student,0
female,64,98169,Doctor,0
female,55,98652,Video Editor,0
female,39,44640,Doctor,0
male,75,71472,Gamer,1
male,46,37261,Student,0
male,45,67259,Software Engineer,1
male,43,132135,Doctor,0
male,66,93470,Business Professional,0
female,71,38373,Business Professional,0
male,39,47722,Graphic Designer,1
male,32,43424,Student,1
male,69,89270,Business Professional,0
female,49,62437,Accountant,0
male,65,49138,Software Engineer,1
male,43,37462,Software Engineer,1
female,28,115913,Freelancer,1
male,53,138527,Student,0
male,67,8814,Teacher,0
female,35,13526,Graphic Designer,1
male,60,52893,Teacher,0
male,21,98101,Business Professional,1
female,30,124197,Business Professional,0
female,63,24594,Gamer,1
male,67,110863,Video Editor,0
male,52,95578,Accountant,0
female,34,74782,Software Engineer,1
male,22,64496,Teacher,0
female,35,96211,Freelancer,1
male,53,61147,Student,0
female,50,136026,Doctor,0
male,41,66824,Business Professional,0
male,57,94564,Freelancer,1
female,42,52538,Software Engineer,1
female,20,127962,Accountant,0
male,40,110463,Gamer,1
male,70,17330,Graphic Designer,1
female,70,118237,Video Editor,0
male,21,34028,Graphic Designer,1
male,20,134805,Video Editor,1
female,70,12227,Student,0
female,34,128011,Gamer,1
female,33,53108,Student,0
male,30,82867,Doctor,1
male,36,87362,Gamer,1
male,38,84524,Doctor,0
male,47,114994,Student,0
female,68,65981,Freelancer,0
male,73,3893,Student,0
female,74,132504,Graphic Designer,0
female,20,79707,Accountant,0
female,73,84649,Video Editor,0
female,36,86823,Freelancer,1
female,33,105414,Video Editor,1
male,26,127608,Gamer,1
female,20,37513,Doctor,0
female,58,120672,Accountant,0
female,51,66812,Gamer,1
male,39,82632,Video Editor,1
male,57,91322,Video Editor,0
male,67,43340,Freelancer,1
male,57,20930,Accountant,0
male,44,21568,Business Professional,0
female,26,122218,Graphic Designer,1
male,47,78019,Business Professional,0
male,53,89903,Graphic Designer,1
male,61,76770,Freelancer,1
male,36,45663,Teacher,0
female,72,96291,Accountant,0
female,72,46925,Business Professional,0
male,75,123554,Video Editor,0
female,51,128393,Graphic Designer,1
male,54,61378,Accountant,0
male,40,77071,Teacher,0
male,33,134825,Graphic Designer,1
male,55,132325,Software Engineer,1
male,43,8478,Student,0
male,74,7852,Student,0
female,75,52469,Software Engineer,1
male,36,101464,Video Editor,1
male,73,120034,Business Professional,0
male,44,95111,Student,0
female,49,98362,Business Professional,0
male,52,37829,Accountant,0
male,46,101033,Video Editor,1
female,59,118554,Gamer,1
female,23,34756,Business Professional,0
male,25,109749,Doctor,1
male,34,121844,Graphic Designer,1
male,68,5649,Gamer,1
female,74,93210,Doctor,0
male,45,6178,Gamer,1
male,49,21111,Accountant,0
male,34,105322,Graphic Designer,1
female,30,73136,Graphic Designer,1
male,75,106368,Video Editor,0
male,67,124929,Accountant,0
male,25,119797,Graphic Designer,1
female,28,13909,Gamer,1
female,33,18847,Graphic Designer,1
male,66,7784,Student,0
female,57,22876,Doctor,0
male,72,20017,Gamer,1
male,37,51380,Gamer,1
male,49,107731,Teacher,0
female,48,36184,Business Professional,0
female,63,138512,Gamer,1
female,24,68737,Accountant,0
female,40,122074,Student,0
male,71,6615,Business Professional,0
female,22,66138,Teacher,0
male,58,122993,Gamer,1
female,28,78094,Student,0
male,65,112806,Teacher,0
female,43,50526,Accountant,0
male,36,76265,Video Editor,1
male,23,79154,Teacher,0
male,57,90478,Teacher,0
male,63,59568,Graphic Designer,1
female,20,32949,Graphic Designer,1
male,33,46848,Student,1
male,50,100700,Business Professional,0
female,56,87171,Doctor,0
male,65,76133,Accountant,0
male,70,12070,Software Engineer,1
male,41,40076,Video Editor,1
male,19,112698,Accountant,0
male,25,66491,Student,1
female,73,57289,Software Engineer,1
male,63,57899,Gamer,1
female,57,101691,Business Professional,0
female,37,50664,Accountant,0
male,48,19162,Student,0
male,61,28764,Teacher,0
male,30,132698,Business Professional,1
male,45,132712,Graphic Designer,1
female,35,119999,Accountant,0
female,32,16438,Teacher,0
male,37,72162,Gamer,1
male,70,27126,Gamer,1
female,61,3601,Software Engineer,0
female,34,76913,Doctor,0
female,59,18793,Video Editor,0
female,63,105092,Teacher,0
female,49,83874,Teacher,0
male,35,133799,Graphic Designer,1
male,31,18790,Freelancer,1
male,41,106407,Gamer,1
male,23,127890,Freelancer,1
male,63,20751,Freelancer,1
female,66,105741,Software Engineer,1
male,44,132175,Accountant,0
female,33,121925,Freelancer,1
female,33,118935,Software Engineer,1
male,62,101690,Business Professional,0
female,69,85538,Teacher,0
male,68,99579,Doctor,0
male,40,127123,Freelancer,1
female,71,127310,Graphic Designer,0
female,34,133456,Software Engineer,1
male,34,130443,Teacher,0
female,66,58646,Gamer,1
male,33,14783,Business Professional,1
female,57,65394,Teacher,0
male,43,78429,Graphic Designer,1
male,32,84046,Teacher,0
female,71,90159,Accountant,0
female,37,139964,Teacher,0
male,30,16509,Business Professional,1
female,18,71697,Doctor,0
male,66,129104,Gamer,1
male,68,30938,Software Engineer,1
female,30,98460,Graphic Designer,1
female,29,30606,Business Professional,0
male,47,116275,Software Engineer,1
male,41,25076,Gamer,1
female,34,51241,Graphic Designer,1
male,48,27381,Student,0
female,45,121567,Software Engineer,1
male,65,131372,Software Engineer,1
female,41,4250,Graphic Designer,0
male,74,88994,Student,0
male,61,38597,Software Engineer,1
female,58,17284,Gamer,1
male,36,104823,Student,0
female,23,136903,Doctor,0
female,48,101121,Teacher,0
male,70,33443,Student,0
male,34,115764,Gamer,1
male,67,78600,Student,0
male,40,134478,Video Editor,1
male,38,21970,Doctor,0
male,55,124194,Student,0
male,20,74049,Video Editor,1
male,23,24276,Graphic Designer,1
female,19,45958,Graphic Designer,1
male,25,93934,Freelancer,1
female,26,8402,Software Engineer,1
male,73,103663,Software Engineer,1
female,54,104550,Video Editor,0
male,29,43081,Business Professional,1
male,46,128762,Gamer,1
male,64,120347,Graphic Designer,1
female,61,136574,Gamer,1
female,54,134216,Teacher,0
male,45,72272,Gamer,1
male,40,44848,Gamer,1
male,44,112998,Software Engineer,1
female,69,97743,Business Professional,0
male,62,102725,Video Editor,0
female,52,19139,Doctor,0
female,32,3808,Accountant,0
male,26,90061,Graphic Designer,1
female,29,8750,Freelancer,1
male,64,11427,Gamer,1
male,43,92441,Teacher,0
male,52,100803,Freelancer,1
male,61,118521,Freelancer,1
female,43,38209,Accountant,0
male,24,92348,Graphic Designer,1
female,35,103509,Doctor,0
female,73,36126,Accountant,0
male,62,126712,Video Editor,0
female,32,62827,Freelancer,1
male,46,66961,Freelancer,1
male,25,45158,Freelancer,1
male,32,75659,Graphic Designer,1
male,62,78034,Software Engineer,1
female,52,95700,Business Professional,0
female,66,110594,Teacher,0
male,34,38208,Doctor,1
female,42,129681,Video Editor,0
female,21,99938,Business Professional,0
female,65,36101,Gamer,1
female,39,45245,Freelancer,1
female,71,34772,Freelancer,0
female,60,139626,Doctor,0
male,23,10054,Video Editor,1
female,39,20052,Doctor,0
male,46,35243,Video Editor,1
female,32,32946,Accountant,0
female,58,18062,Gamer,1
male,23,44464,Student,1
female,73,50960,Accountant,0
male,32,89754,Business Professional,1
female,57,82846,Gamer,1
female,52,38656,Business Professional,0
male,57,126710,Business Professional,0
female,71,120177,Business Professional,0
female,68,23127,Video Editor,0
female,48,117562,Video Editor,0
male,68,63931,Teacher,0
male,21,92213,Graphic Designer,1
female,41,81446,Teacher,0
male,37,139742,Business Professional,0
male,40,109869,Software Engineer,1
female,19,48882,Freelancer,1
female,46,107657,Business Professional,0
female,25,42454,Teacher,0
male,37,36602,Student,0
female,51,31197,Accountant,0
male,62,66803,Freelancer,1
female,62,128334,Teacher,0
male,24,131373,Software Engineer,1
male,62,30604,Student,0
female,19,46651,Teacher,0
female,68,106901,Teacher,0
female,22,7783,Teacher,0
female,52,14362,Accountant,0
male,52,67551,Freelancer,1
male,68,37735,Freelancer,1
male,71,30170,Video Editor,0
male,52,32547,Software Engineer,1
male,57,85199,Video Editor,0
male,51,88635,Graphic Designer,1
female,58,100402,Business Professional,0
female,71,115869,Freelancer,0
female,20,4273,Doctor,0
male,22,96301,Freelancer,1
female,61,65487,Graphic Designer,0
male,22,59785,Gamer,1
male,24,130475,Accountant,0
male,28,111712,Doctor,1
female,70,101221,Teacher,0
male,32,14487,Gamer,1
female,25,123348,Business Professional,0
male,52,104624,Business Professional,0
female,43,67040,Teacher,0
male,56,110669,Business Professional,0
female,34,12818,Teacher,0
female,26,38440,Accountant,0
male,21,45953,Freelancer,1
male,62,32461,Graphic Designer,1
male,49,63994,Accountant,0
male,40,22096,Accountant,0
male,19,30027,Gamer,1
male,67,33198,Gamer,1
female,59,118891,Doctor,0
male,32,55672,Business Professional,1
female,43,30945,Software Engineer,1
male,64,56883,Graphic Designer,1
female,58,106225,Graphic Designer,0
female,30,102327,Freelancer,1
female,59,36522,Gamer,1
female,32,136259,Freelancer,1
male,33,26262,Gamer,1
male,24,17575,Doctor,1
female,60,24583,Accountant,0
female,37,39079,Gamer,1
female,45,42426,Business Professional,0
male,52,99155,Accountant,0
male,41,6656,Gamer,1
male,44,72634,Freelancer,1
male,23,31057,Graphic Designer,1
male,25,97100,Business Professional,1
female,40,102179,Gamer,1
female,49,23759,Accountant,0
female,26,52708,Teacher,0
male,39,43353,Freelancer,1
female,46,122852,Teacher,0
female,29,107420,Student,0
male,48,134225,Student,0
male,70,78334,Gamer,1
male,52,124191,Student,0
female,40,118107,Gamer,1
female,19,93152,Video Editor,1
male,62,113536,Software Engineer,1
male,20,87655,Graphic Designer,1
female,38,9598,Student,0
male,22,42048,Graphic Designer,1
male,75,82063,Doctor,0
female,59,97758,Graphic Designer,0
female,48,46399,Teacher,0
male,49,32778,Gamer,1
female,33,93396,Teacher,0
male,27,56172,Accountant,0
male,46,126838,Software Engineer,1
female,46,79465,Accountant,0
female,61,122954,Graphic Designer,0
